est_id,study,profession,pop,group1,group2,h,rl_sm,n_creative,n_left_creative,n_right_creative,n_control,n_left_control,n_right_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,comparison,pref_success,include,exclude_rnr,model_obj,se,inv_var
44,nlsy79,Architecture,Professionals,"Architects, except naval","Non-art, architecture, music",1i_2pt,S/M,9,0,9,5468,120,5348,0,2.194586686174104,OR,0,0,19.16490042454868,0,0.9999999999999944,NA,Score,NA,(SR+SL)/M,mix,1,0,NA,4.889095048612877,0.04183531459116929
45,nlsy79,Art,Professionals,Artistic occupations,"Non-art, architecture, music",2i_2pt,S/M,43,1,42,5468,120,5348,2.3255813953488373,2.194586686174104,OR,0.18301948496949969,1.0611111111111111,6.164424677779595,0,0.999999999999885,NA,Score,NA,(SR+SL)/M,mix,1,0,NA,1.5258967103453578,0.4294867069607656
46,nlsy79,Music,Professionals,Musicians and composers,"Non-art, architecture, music",1i_2pt,S/M,12,0,12,5468,120,5348,0,2.194586686174104,OR,0,0,14.35681736173924,0,0.9999999999997384,NA,Score,NA,(SR+SL)/M,mix,1,0,NA,3.662520708284435,0.07454865668363513
47,nlsy97,Architecture,Professionals,"Architects, except naval","Non-art, architecture, music",3i_3pt,R/L,4,0,4,6090,1183,4907,0,19.42528735632184,OR,0,0,3.9911358049918815,0.12,0.7266004053194707,NA,Score,NA,SR/SL,mix,1,0,NA,1.018165598060335,0.9646353257926231
48,nlsy97,Art,Professionals,Artistic occupations,"Non-art, architecture, music",4i_3pt,R/L,78,19,59,6091,1184,4907,24.35897435897436,19.438515843047117,OR,0.796574942631189,1.3346455565735225,2.2361722247973965,0.9,0.34412188746251987,NA,Score,NA,SR/SL,mix,1,0,NA,0.3672509529566787,7.414367991495699
49,nlsy97,Music,Professionals,"Musicians, singers and related workers","Non-art, architecture, music",3i_3pt,R/L,11,1,10,6090,1183,4907,9.090909090909092,19.42528735632184,OR,0.06832823712671351,0.41479289940828407,2.51803875871203,0.23,0.6281361588692526,NA,Score,NA,SR/SL,mix,1,0,NA,0.6249376368413708,2.560510955469731
50,nlsy97,Architecture,Professionals,"Architects, except naval","Non-art, architecture, music",3i_3pt,S/M,4,0,4,6090,635,5455,0,10.426929392446633,OR,0,0,8.270637534727623,0,0.999999999999984,NA,Score,NA,(SR+SL)/M,mix,1,0,NA,2.1098952837820897,0.2246354000287623
51,nlsy97,Art,Professionals,Artistic occupations,"Non-art, architecture, music",4i_3pt,S/M,78,9,69,6091,636,5455,11.538461538461538,10.441635199474634,OR,0.5628134985924408,1.1187448728465956,2.223809652132884,0.02,0.8978536128354225,NA,Score,NA,(SR+SL)/M,mix,1,0,NA,0.42373129471821147,5.569534774597656
52,nlsy97,Music,Professionals,"Musicians, singers and related workers","Non-art, architecture, music",3i_3pt,S/M,11,0,11,6090,635,5455,0,10.426929392446633,OR,0,0,3.004820278474173,0.41,0.5239108358746846,NA,Score,NA,(SR+SL)/M,mix,1,0,NA,0.7665498708588048,1.7018417370877124
53,peterson_1979,Art,Students,"Design, Arch., Art","Non-art, music",Drawing hand,R/L,147,18,129,569,46,523,12.244897959183673,8.084358523725834,OR,0.8953214908307296,1.5864509605662285,2.813898139085442,2,0.15735099029875982,NA,Score,NA,R/L,preference,1,0,NA,0.4894418120404764,4.174436556326585
54,peterson_1979,Architecture,Students,"Design, Arch., Art","Non-art, music",Drawing hand,R/L,147,18,129,569,46,523,12.244897959183673,8.084358523725834,OR,0.8953214908307296,1.5864509605662285,2.813898139085442,2,0.15735099029875982,NA,Score,NA,R/L,preference,1,0,NA,0.4894418120404764,4.174436556326585
55,giotakos_2004,Art,Military,Art Hobbies,Non-Art Hobbes,AHQ,R/L,100,6,94,439,25,414,6,5.694760820045558,OR,0.4332427392369918,1.0570212765957447,2.586654345521175,0,0.999999999999999,NA,Score,NA,SR/SL,preference,1,0,NA,0.5493497899119626,3.3136152057207613
56,giotakos_2004,Music,Military,Art Hobbies,Non-Art Hobbes,AHQ,R/L,100,6,94,439,25,414,6,5.694760820045558,OR,0.4332427392369918,1.0570212765957447,2.586654345521175,0,0.999999999999999,NA,Score,NA,SR/SL,preference,1,0,NA,0.5493497899119626,3.3136152057207613
57,giotakos_2004,Art,Military,Art Hobbies,Non-Art Hobbies,AHQ,S/M,184,84,100,695,256,439,45.65217391304348,36.83453237410072,OR,1.0374593836197326,1.44046875,2.000030316837074,4.4,0.03584422620317389,NA,Score,NA,(SR+SL)/M,preference,1,0,NA,0.24555832168600508,16.584053384599837
58,giotakos_2004,Music,Military,Art Hobbies,Non-Art Hobbies,AHQ,S/M,184,84,100,695,256,439,45.65217391304348,36.83453237410072,OR,1.0374593836197326,1.44046875,2.000030316837074,4.4,0.03584422620317389,NA,Score,NA,(SR+SL)/M,preference,1,0,NA,0.24555832168600508,16.584053384599837
59,coren_1982,Art,Students,Science/Visual  Art,Lang/Lit,13i_3pt,R/L,225,28,197,262,27,235,12.444444444444445,10.30534351145038,OR,0.7086950880556667,1.2370746380898665,2.159396454127768,0.36,0.5485223248817873,NA,Score,NA,0 split,preference,1,0,NA,0.3700836794744824,7.3012989913520565
60,coren_1982,Art,Students,Science/Visual  Art,Lang/Lit,13i_3pt,S/M,225,69,156,262,21,241,30.666666666666664,8.015267175572518,OR,3.00245314669162,5.076007326007326,8.581599483765876,39.74,2.9071375193683087e-10,NA,Score,NA,SR/(M+SL),preference,1,0,NA,1.4232777696635888,0.4936517350435773
